game,name,set_id,number,image_url
mtg,Sculpting Steel,klr,302,https://cards.scryfall.io/normal/front/3/4/3448561f-cfbb-4134-a1a8-d8ebd32e2a89.jpg?1734543327
mtg,Bite of the Black Rose,cns,26,https://cards.scryfall.io/normal/front/2/5/254d1363-1204-41d2-9799-34484a3eb211.jpg?1562864493
mtg,Hallowed Healer,ody,25,https://cards.scryfall.io/normal/front/2/5/254d5bf0-f985-4919-a142-d4578ae9a38e.jpg?1562901960
mtg,Squirrel Nest,cns,180,https://cards.scryfall.io/normal/front/2/5/254da3ab-d845-4317-86dd-d98a2a5355a8.jpg?1562864495
mtg,Typhoon,leg,209,https://cards.scryfall.io/normal/front/2/5/254e0403-67d8-4e73-8d89-c901ebeba49f.jpg?1562858218
mtg,Ebon Drake,5dn,48,https://cards.scryfall.io/normal/front/2/5/254ea05c-c349-4a95-8751-779b044603bb.jpg?1562875902
mtg,Golgari Signet,cm2,192,https://cards.scryfall.io/normal/front/2/5/254f4460-beb9-43ce-a176-d040f7dd7e9e.jpg?1562272914
mtg,Reality Shaping,opc2,6,https://cards.scryfall.io/normal/front/2/5/254f484d-a652-4747-9b78-6bf083a8f656.jpg?1547434236
mtg,Gnawing Crescendo,woe,131,https://cards.scryfall.io/normal/front/2/5/254fc64a-9734-44a6-8869-ab03512f1a99.jpg?1692938235
mtg,Monsoon,ice,298,https://cards.scryfall.io/normal/front/2/5/254fcc50-79a5-40cd-b028-e78dde3f8480.jpg?1587912111
mtg,Yavimaya Elder,m3c,254,https://cards.scryfall.io/normal/front/2/5/254ff45b-ca3e-42e5-829b-cbb2c7a69a5e.jpg?1717190616
mtg,Swords to Plowshares,leb,41,https://cards.scryfall.io/normal/front/2/5/255099be-c64e-4f6a-8463-4fc058d6908d.jpg?1559591712
mtg,Depressurize,eoe,95,https://cards.scryfall.io/normal/front/2/5/25520d5a-1a83-42cc-8ace-8b1156019d64.jpg?1752946939
mtg,Arcane Denial,cmr,630,https://cards.scryfall.io/normal/front/2/5/25532c00-d4c0-4f49-b306-6991e49d3c4c.jpg?1608918421
